2.386; W; CW 0xB224; AW 0xB080: 0002 0000 0000 0000 
12.371; W; CW 0xB224; AW 0xB080: 0001 0000 0064 0000 
12.498; W; CW 0xB224; AW 0xB080: 0003 0000 000A 0000 
12.592; W; CW 0xB224; AW 0xB080: 0003 0001 000B 0000 
12.672; W; CW 0xB224; AW 0xB080: 0003 0002 003C 0000 
12.784; W; CW 0xB224; AW 0xB080: 0003 0003 000A 0000 
47.370; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0003 0000 0085 0155 003C 0023 0023 001F 0022 0085 2200 0000 0003 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86AA FF82 003C 000A 8B62 ; 8B62; CRC OK;
47.464; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
47.574; R; CW 0xB440; AW 0xB080: 0FF1 0D02 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE B6CF ; B6CF; CRC OK;
47.670; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
47.764; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0003 0000 0083 0094 0317 003F 0317 0041 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A E9C7 ; E9C7; CRC OK;
47.875; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
52.364; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0003 0000 0085 0155 003C 0023 0023 001F 0022 0085 2200 0000 0003 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86AA FF82 003C 000A 8B62 ; 8B62; CRC OK;
52.490; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
52.577; R; CW 0xB440; AW 0xB080: 0FF1 0D02 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE B6CF ; B6CF; CRC OK;
52.673; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
52.775; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0003 0000 0083 0094 0317 003F 0317 0041 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A E9C7 ; E9C7; CRC OK;
52.869; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
57.368; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0005 0000 0090 0150 003C 0023 0023 001F 001D 0085 2300 0000 0005 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86B5 FF82 003C 000A D93E ; D93E; CRC OK;
57.475; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
57.570; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
57.662; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
57.772; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0005 0000 008D 0094 0317 003F 0317 0041 0317 001F 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 5E08 ; 5E08; CRC OK;
57.936; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
62.424; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0005 0000 0090 0150 003C 0023 0023 001F 001D 0085 2300 0000 0005 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86B5 FF82 003C 000A D93E ; D93E; CRC OK;
62.471; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
62.566; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
62.662; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
62.772; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0005 0000 008D 0094 0317 003F 0317 0041 0317 001F 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A 5E08 ; 5E08; CRC OK;
62.900; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
67.372; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0005 0000 0090 0150 003C 0023 0023 001F 001D 0085 2300 0000 0005 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86B5 FF82 003C 000A D93E ; D93E; CRC OK;
67.466; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
67.575; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
67.668; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
67.763; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0006 0000 0097 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A A342 ; A342; CRC OK;
67.875; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
72.374; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0006 0000 009B 0150 003C 0023 0023 001F 001D 0084 2300 0000 0006 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86C0 FF82 003C 000A 8B58 ; 8B58; CRC OK;
72.468; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
72.561; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
72.670; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
72.768; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0006 0000 0097 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A A342 ; A342; CRC OK;
72.878; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
77.410; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0006 0000 009B 0150 003C 0023 0023 001F 001D 0084 2300 0000 0006 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86C0 FF82 003C 000A 8B58 ; 8B58; CRC OK;
77.511; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
77.578; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
77.796; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
77.820; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0007 0000 00A1 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FFE9 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A CA14 ; CA14; CRC OK;
77.867; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
82.365; R; CW 0xB5E0; AW 0xB080: 0FF1 0D0F 0007 0000 00A6 0150 003C 0023 0023 001F 001D 0084 2300 0000 0007 0000 0000 0000 007F 000A 000B 0061 AF01 0000 0002 5102 000D 86CB FF82 003C 000A FE3C ; FE3C; CRC OK;
82.490; R; CW 0xB420; AW 0xB080: 0FF1 0D01 0002 0000 0082 0000 000A 0000 0005 0008 FC3C 01A7 BED1 005F 0011 0D22 4757 01C0 03DE 0000 0078 000D 840D 0000 0000 0000 0008 01A6 83E3 01B5 000B CCFE ; CCFE; CRC OK;
82.570; R; CW 0xB440; AW 0xB080: 0FF1 0D02 0004 0000 008C 0000 001C 0000 006E 000D 923B 0000 0000 0000 0005 0180 A9B8 09EE 0008 0000 0082 000D A8FB 0000 0000 0000 0005 01F3 8E09 09EE 0008 751A ; 751A; CRC OK;
82.663; R; CW 0xB460; AW 0xB080: 0FF1 0D03 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 1391 ; 1391; CRC OK;
82.774; R; CW 0xB480; AW 0xB080: 0FF1 0D04 0007 0000 00A1 0094 0317 003F 0317 0041 0317 001F 0317 FFFB 0317 FFE9 0317 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3400 000A CA14 ; CA14; CRC OK;
82.875; R; CW 0xB4A0; AW 0xB080: 0FF1 0D05 FEFE 0000 00AC FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FC36 ; FC36; CRC OK;
