1.568; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.555; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.588; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.620; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.666; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.760; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.854; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
23.144; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000C 0000 0000 0000 0000 0000 46C0 A64F 0000 A196 0000 A2B9 0000 A903 0000 ADAC 0000 B28F 0000 9A7D 0000 B531 0000 D47E 0000 1B9B 0002 FEFE FEFE F2A3 ; F2A3; CRC OK;
23.255; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0013 0000 0006 0000 0001 0005 34BC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0008 0000 0007 0000 0085 0000 004E 0000 0238 0000 FEFE FEFE B82A ; B82A; CRC OK;
23.349; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0017 0000 0006 0000 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 000C 0000 000B 0000 0008 0000 0098 0000 0049 0000 0227 0000 FEFE FEFE 705A ; 705A; CRC OK;
23.444; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 001B 0000 0006 0000 0001 0005 46BC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0008 0000 0005 0000 0042 0000 001D 0000 0032 0000 FEFE FEFE 6BA7 ; 6BA7; CRC OK;
23.552; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0014 0000 0006 0000 0000 0000 34BC 0001 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0002 0000 002E 0000 0114 0000 0358 0000 FEFE FEFE F9A2 ; F9A2; CRC OK;
23.754; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0018 0000 0006 0000 0000 0000 3DBC 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0002 0000 0005 0000 002E 0000 0121 0000 02ED 0000 FEFE FEFE 27CE ; 27CE; CRC OK;
23.847; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001C 0000 0006 0000 0000 0000 46BC 0004 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 00E0 0000 0046 0000 00B0 0000 FEFE FEFE 50F0 ; 50F0; CRC OK;
27.542; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0010 0000 0005 0001 000E 0000 002C 000A 000A 000A 0009 FF00 000D 0401 1900 FEFE 0001 09FE 0000 0001 0000 0004 010D 0000 0010 FEFE FEFE FEFE FEFE C8A5 ; C8A5; CRC OK;
27.652; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0011 0000 0006 0000 0000 0000 34C0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 000C 0000 008B 0000 0475 0000 FEFE FEFE 689A ; 689A; CRC OK;
27.746; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 001D 0000 0007 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0030 0000 025E 0000 FEFE FEFE 9584 ; 9584; CRC OK;
27.856; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0019 0000 0006 0000 0000 0000 46C0 0009 0000 0001 0000 0000 0000 0002 0000 0000 0000 0001 0000 0002 0000 006C 0000 0013 0000 0043 0000 FEFE FEFE 6CD8 ; 6CD8; CRC OK;
27.950; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0012 0000 0006 0000 0000 0000 34C0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0009 0000 0041 0000 023B 0000 FEFE FEFE 7E70 ; 7E70; CRC OK;
28.045; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001E 0000 0007 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 003A 0000 0264 0000 FEFE FEFE C2C2 ; C2C2; CRC OK;
28.156; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 001A 0000 0006 0000 0000 0000 46C0 0005 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0045 0000 0020 0000 0044 0000 FEFE FEFE C01C ; C01C; CRC OK;
28.250; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001F 0000 0007 0001 0000 0004 34BC 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0021 0000 01F8 0000 FEFE FEFE 64CA ; 64CA; CRC OK;
28.345; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0017 0000 0006 0000 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 000C 0000 000B 0000 0008 0000 0098 0000 0049 0000 0227 0000 FEFE FEFE 705A ; 705A; CRC OK;
28.454; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 001B 0000 0006 0000 0001 0005 46BC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0008 0000 0005 0000 0042 0000 001D 0000 0032 0000 FEFE FEFE 6BA7 ; 6BA7; CRC OK;
28.548; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0021 0000 0008 0001 0000 0004 34BC 0000 0000 0001 0000 0003 0000 0008 0000 000B 0000 0007 0000 000E 0000 0132 0000 0051 0000 01B1 0000 FEFE FEFE 952E ; 952E; CRC OK;
28.750; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0018 0000 0006 0000 0000 0000 3DBC 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0002 0000 0005 0000 002E 0000 0121 0000 02ED 0000 FEFE FEFE 27CE ; 27CE; CRC OK;
28.845; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0020 0000 0007 0001 0002 0004 46BC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0000 0000 0002 0000 0014 0000 0034 0000 00B0 0000 FEFE FEFE 106B ; 106B; CRC OK;
32.543; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0022 0000 000F 0001 000E 0000 002D 000A 000A 000A 0009 FF00 000D 0401 1900 FEFE 0001 0A08 0000 0001 0000 0004 03CD 0000 0022 FEFE FEFE FEFE FEFE 8C41 ; 8C41; CRC OK;
32.653; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0011 0000 0006 0000 0000 0000 34C0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 000C 0000 008B 0000 0475 0000 FEFE FEFE 689A ; 689A; CRC OK;
32.748; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 001D 0000 0007 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0030 0000 025E 0000 FEFE FEFE 9584 ; 9584; CRC OK;
32.844; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0019 0000 0006 0000 0000 0000 46C0 0009 0000 0001 0000 0000 0000 0002 0000 0000 0000 0001 0000 0002 0000 006C 0000 0013 0000 0043 0000 FEFE FEFE 6CD8 ; 6CD8; CRC OK;
32.955; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0024 0000 0010 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0002 0000 0005 0000 0009 0000 000B 0000 006D 0000 0041 0000 021A 0000 FEFE FEFE 35C6 ; 35C6; CRC OK;
33.047; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001E 0000 0007 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 003A 0000 0264 0000 FEFE FEFE C2C2 ; C2C2; CRC OK;
33.155; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 001A 0000 0006 0000 0000 0000 46C0 0005 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0045 0000 0020 0000 0044 0000 FEFE FEFE C01C ; C01C; CRC OK;
