13.233; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
28.218; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
28.250; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
28.281; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
28.314; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
28.423; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
28.519; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
34.805; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000B 0000 0000 0000 0000 0000 46C0 0000 A53C 0000 9E6C 0000 9E8A 0000 A34F 0000 9AAB 0000 A376 0000 A664 0000 C43D 0001 08F7 0001 B264 FEFE FEFE CA35 ; CA35; CRC OK;
34.900; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0011 0000 000A 0000 0002 0000 34BC 0000 0001 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0013 0000 0040 0000 01F9 FEFE FEFE AB46 ; AB46; CRC OK;
35.012; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0015 0000 000A 0000 0002 0000 3DBC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 0045 0000 0213 FEFE FEFE 3D6B ; 3D6B; CRC OK;
35.109; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0019 0000 000A 0000 0002 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0065 0000 0016 0000 0034 FEFE FEFE DF9C ; DF9C; CRC OK;
35.203; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0012 0000 000A 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 0030 0000 00FC 0000 0308 FEFE FEFE 7E3F ; 7E3F; CRC OK;
35.407; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0016 0000 000A 0000 0000 0000 3DBC 0000 0001 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0004 0000 002D 0000 0109 0000 039B FEFE FEFE B04D ; B04D; CRC OK;
35.501; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001A 0000 000A 0000 0000 0000 46BC 0000 0004 0000 0002 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 006D 0000 0050 0000 0072 FEFE FEFE 17EE ; 17EE; CRC OK;
39.201; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0001 0000 000A 0001 0000 000E 002B 0009 0009 000A 0009 FF00 0011 0401 1100 0015 119F 00D1 0000 0000 0000 0000 000D 0000 000F FEFE FEFE FEFE FEFE 7413 ; 7413; CRC OK;
39.310; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000F 0000 000A 0000 0000 0000 34C0 0000 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 000B 0000 0060 0000 0483 FEFE FEFE 8E91 ; 8E91; CRC OK;
39.405; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0013 0000 000A 0000 0000 0000 3DC0 0000 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0017 0000 005D 0000 02DD FEFE FEFE FE51 ; FE51; CRC OK;
