1.166; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.148; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.180; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.212; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.244; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.351; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.445; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
22.741; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A629 0000 A0DC 0000 A09C 0000 9E05 0000 9CF8 0000 A6D1 0000 9BE2 0000 B468 0000 D601 0000 1655 0002 FEFE FEFE 6ACE ; 6ACE; CRC OK;
22.834; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0011 0000 000A 0000 0002 0001 34BC 0000 0000 0000 0000 0001 0000 0006 0000 0009 0000 0007 0000 000C 0000 00C8 0000 0053 0000 0261 0000 FEFE FEFE 3DF3 ; 3DF3; CRC OK;
22.929; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0015 0000 000A 0000 0002 0001 3DBC 0000 0000 0000 0000 0001 0000 0005 0000 000C 0000 000B 0000 0008 0000 0089 0000 0049 0000 01FD 0000 FEFE FEFE BB0B ; BB0B; CRC OK;
23.039; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0019 0000 000A 0000 0002 0001 46BC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000A 0000 0006 0000 0047 0000 0019 0000 0045 0000 FEFE FEFE 7A1C ; 7A1C; CRC OK;
23.135; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0012 0000 000A 0000 0000 0000 34BC 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0036 0000 0114 0000 033C 0000 FEFE FEFE 8875 ; 8875; CRC OK;
23.340; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0016 0000 000A 0000 0000 0000 3DBC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0002 0000 0003 0000 0032 0000 00FF 0000 0295 0000 FEFE FEFE 1413 ; 1413; CRC OK;
23.436; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001A 0000 000A 0000 0000 0000 46BC 0004 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0007 0000 0097 0000 004F 0000 006B 0000 FEFE FEFE 5D82 ; 5D82; CRC OK;
27.131; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000E 0000 000A 0001 000E 0000 002B 000A 000A 000A 0009 FF00 000D 0401 1100 FEFE 0001 0803 0000 0000 0000 0000 0005 0000 000E FEFE FEFE FEFE FEFE 551F ; 551F; CRC OK;
27.242; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000F 0000 000A 0000 0000 0000 34C0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 006A 0000 045B 0000 FEFE FEFE 2EF6 ; 2EF6; CRC OK;
27.335; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0013 0000 000A 0000 0000 0000 3DC0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0026 0000 0057 0000 025F 0000 FEFE FEFE 181D ; 181D; CRC OK;
