1.473; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.453; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.485; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.518; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.565; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.659; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.752; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
23.048; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000B 0000 0000 0000 0000 0000 46C0 A72F 0000 A0DC 0000 9D58 0000 A20A 0000 A5BD 0000 A90D 0000 AE45 0000 B59A 0000 FF9D 0000 0457 0002 FEFE FEFE 9494 ; 9494; CRC OK;
23.157; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0012 0000 000A 0000 0001 0005 34BC 0000 0000 0000 0000 0002 0000 0005 0000 0009 0000 0008 0000 000D 0000 00AD 0000 0048 0000 0239 0000 FEFE FEFE EF8A ; EF8A; CRC OK;
23.250; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0016 0000 000A 0000 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 0008 0000 0006 0000 0083 0000 004A 0000 01FB 0000 FEFE FEFE F20E ; F20E; CRC OK;
23.344; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 001A 0000 000A 0000 0001 0005 46BC 0000 0000 0000 0000 0001 0000 0003 0000 0009 0000 000A 0000 0005 0000 007F 0000 001A 0000 0034 0000 FEFE FEFE CD33 ; CD33; CRC OK;
23.454; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0013 0000 000A 0000 0000 0000 34BC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0002 0000 0007 0000 0030 0000 0109 0000 0357 0000 FEFE FEFE B517 ; B517; CRC OK;
23.657; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0017 0000 000A 0000 0000 0000 3DBC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 002E 0000 00F7 0000 0302 0000 FEFE FEFE 520D ; 520D; CRC OK;
23.750; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001B 0000 000A 0000 0000 0000 46BC 0004 0000 0002 0000 0000 0000 0000 0000 0001 0000 0001 0000 0008 0000 0090 0000 0051 0000 0090 0000 FEFE FEFE 41ED ; 41ED; CRC OK;
27.445; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000F 0000 000A 0001 000E 0000 002B 000A 000A 000A 0009 FF00 000D 0401 1100 FEFE 0001 08D2 0000 0000 0000 0000 000D 0000 000F FEFE FEFE FEFE FEFE 2DB7 ; 2DB7; CRC OK;
27.553; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 001C 0000 000C 0001 0000 0004 34C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 0061 0000 044B 0000 FEFE FEFE 0733 ; 0733; CRC OK;
27.647; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0014 0000 000A 0000 0000 0000 3DC0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0012 0000 005D 0000 0296 0000 FEFE FEFE F706 ; F706; CRC OK;
27.756; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0018 0000 000A 0000 0000 0000 46C0 0009 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0035 0000 0020 0000 003F 0000 FEFE FEFE D801 ; D801; CRC OK;
27.850; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0011 0000 000A 0000 0000 0000 34C0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 000D 0000 0037 0000 0279 0000 FEFE FEFE 5C6C ; 5C6C; CRC OK;
27.945; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001D 0000 000C 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 000C 0000 002B 0000 0259 0000 FEFE FEFE 5715 ; 5715; CRC OK;
28.056; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0019 0000 000A 0000 0000 0000 46C0 0005 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 003A 0000 001F 0000 005B 0000 FEFE FEFE C7D2 ; C7D2; CRC OK;
28.149; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0012 0000 000A 0000 0001 0005 34BC 0000 0000 0000 0000 0002 0000 0005 0000 0009 0000 0008 0000 000D 0000 00AD 0000 0048 0000 0239 0000 FEFE FEFE EF8A ; EF8A; CRC OK;
28.243; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0016 0000 000A 0000 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 0008 0000 0006 0000 0083 0000 004A 0000 01FB 0000 FEFE FEFE F20E ; F20E; CRC OK;
28.352; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 001E 0000 000C 0001 0002 0004 46BC 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0007 0000 0043 0000 FEFE FEFE 58C9 ; 58C9; CRC OK;
28.447; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0020 0000 000D 0001 0000 0004 34BC 0000 0000 0000 0000 0003 0000 0007 0000 000B 0000 0005 0000 0015 0000 0115 0000 00BC 0000 0334 0000 FEFE FEFE FBD4 ; FBD4; CRC OK;
28.651; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0017 0000 000A 0000 0000 0000 3DBC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 002E 0000 00F7 0000 0302 0000 FEFE FEFE 520D ; 520D; CRC OK;
28.746; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 001F 0000 000C 0001 0002 0004 46BC 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0002 0000 0003 0000 0018 0000 002C 0000 0058 0000 FEFE FEFE 9AD6 ; 9AD6; CRC OK;
32.444; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0021 0000 0014 0001 000E 0000 002D 000A 000A 000A 000A FF00 000D 0401 1900 FEFE 0001 08DC 0000 0000 0000 0000 03CD 0000 0021 FEFE FEFE FEFE FEFE 11E7 ; 11E7; CRC OK;
32.557; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 001C 0000 000C 0001 0000 0004 34C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 0061 0000 044B 0000 FEFE FEFE 0733 ; 0733; CRC OK;
32.648; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0014 0000 000A 0000 0000 0000 3DC0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0012 0000 005D 0000 0296 0000 FEFE FEFE F706 ; F706; CRC OK;
32.744; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0018 0000 000A 0000 0000 0000 46C0 0009 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0035 0000 0020 0000 003F 0000 FEFE FEFE D801 ; D801; CRC OK;
32.853; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0023 0000 0014 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0007 0000 0007 0000 005B 0000 003C 0000 01D0 0000 FEFE FEFE 0458 ; 0458; CRC OK;
32.948; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001D 0000 000C 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 000C 0000 002B 0000 0259 0000 FEFE FEFE 5715 ; 5715; CRC OK;
33.043; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0019 0000 000A 0000 0000 0000 46C0 0005 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 003A 0000 001F 0000 005B 0000 FEFE FEFE C7D2 ; C7D2; CRC OK;
33.153; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0024 0000 0014 0000 0002 0004 34BC 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 0008 0000 000D 0000 0098 0000 0053 0000 0219 0000 FEFE FEFE F40E ; F40E; CRC OK;
33.248; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0028 0000 0014 0000 0002 0004 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 0009 0000 0007 0000 000A 0000 009C 0000 0049 0000 0220 0000 FEFE FEFE 08FA ; 08FA; CRC OK;
