1.294; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.273; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
11.304; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
11.336; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
11.382; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
11.478; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
17.859; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A4D2 0000 A0AA 0000 A21F 0000 A1D0 0000 A9F3 0000 AB83 0000 ACD9 0000 A743 0000 DD7E 0000 DF20 0001 FEFE FEFE E573 ; E573; CRC OK;
17.968; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2ADC ; 2ADC; CRC OK;
18.061; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE D054 ; D054; CRC OK;
18.171; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE CFED ; CFED; CRC OK;
18.265; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 3AC7 ; 3AC7; CRC OK;
18.471; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 9044 ; 9044; CRC OK;
18.565; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 6ACC ; 6ACC; CRC OK;
22.264; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 0000 000A 0000 0000 0000 0000 0000 0000 0000 0000 FF00 000D 040E 1D00 FEFE 0001 066E 0000 0000 0000 0000 0005 0000 000D FEFE FEFE FEFE FEFE 9E65 ; 9E65; CRC OK;
22.375; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 0000 0000 0000 34C0 CE83 0000 CAAC 0000 C4E8 0000 C813 0000 C234 0000 C67C 0000 D935 0000 AC56 0000 D1AF 0000 C9ED 0002 FEFE FEFE C982 ; C982; CRC OK;
22.470; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 0000 0000 0000 3DC0 D7C7 0000 CE4D 0000 CB4F 0000 CADD 0000 D31C 0000 D37A 0000 DE94 0000 F487 0000 10DF 0001 AA01 0002 FEFE FEFE 2BD3 ; 2BD3; CRC OK;
