1.629; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.602; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.633; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.665; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.712; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.805; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.915; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
23.199; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0009 0000 0000 0000 0000 0000 46C0 0000 A25F 0000 9CE4 0000 998C 0000 9EE2 0000 9F71 0000 9956 0000 98C9 0000 9D9C 0000 CA1D 0001 F2F2 FEFE FEFE 2F8D ; 2F8D; CRC OK;
23.293; R; CW 0xED00; AW 0xE800: 0FF1 0D28 000E 0000 0006 0000 0000 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0010 0000 004C 0000 01F5 FEFE FEFE 970A ; 970A; CRC OK;
23.404; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0012 0000 0006 0000 0000 0000 3DBC 0000 0001 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0022 0000 0051 0000 01FD FEFE FEFE 251D ; 251D; CRC OK;
23.499; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0016 0000 0006 0000 0000 0000 46BC 0000 3A79 0000 000F 0000 0002 0000 0000 0000 0000 0000 0001 0000 0005 0000 0061 0000 0013 0000 003F FEFE FEFE 26FF ; 26FF; CRC OK;
23.593; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 000F 0000 0006 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0002 0000 002B 0000 012D 0000 0256 FEFE FEFE 4623 ; 4623; CRC OK;
23.798; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0013 0000 0006 0000 0000 0000 3DBC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0003 0000 0028 0000 00F9 0000 0359 FEFE FEFE 836C ; 836C; CRC OK;
23.892; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0017 0000 0006 0000 0000 0000 46BC 0000 0004 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0009 0000 00C0 0000 0043 0000 007E FEFE FEFE 5EB9 ; 5EB9; CRC OK;
27.600; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0001 0000 0005 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 0069 0000 0001 0000 0004 000D 0000 000C FEFE FEFE FEFE FEFE 01A6 ; 01A6; CRC OK;
27.695; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000C 0000 0006 0000 0000 0000 34C0 0000 0006 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000A 0000 006A 0000 0452 FEFE FEFE EC6C ; EC6C; CRC OK;
27.804; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0010 0000 0006 0000 0000 0000 3DC0 0000 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0015 0000 0060 0000 02F8 FEFE FEFE CDE6 ; CDE6; CRC OK;
27.898; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0014 0000 0006 0000 0000 0000 46C0 0000 0009 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0047 0000 001B 0000 0042 FEFE FEFE B5CC ; B5CC; CRC OK;
27.994; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000D 0000 0006 0000 0000 0000 34C0 0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0009 0000 003A 0000 0262 FEFE FEFE 0670 ; 0670; CRC OK;
28.103; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0011 0000 0006 0000 0000 0000 3DC0 0000 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 001D 0000 005B 0000 0268 FEFE FEFE 8F95 ; 8F95; CRC OK;
28.198; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0015 0000 0006 0000 0000 0000 46C0 0000 0005 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 003E 0000 0023 0000 003D FEFE FEFE FF71 ; FF71; CRC OK;
28.293; R; CW 0xED00; AW 0xE800: 0FF1 0D28 000E 0000 0006 0000 0000 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0010 0000 004C 0000 01F5 FEFE FEFE 970A ; 970A; CRC OK;
28.403; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0012 0000 0006 0000 0000 0000 3DBC 0000 0001 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0022 0000 0051 0000 01FD FEFE FEFE 251D ; 251D; CRC OK;
28.499; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0016 0000 0006 0000 0000 0000 46BC 0000 3A79 0000 000F 0000 0002 0000 0000 0000 0000 0000 0001 0000 0005 0000 0061 0000 0013 0000 003F FEFE FEFE 26FF ; 26FF; CRC OK;
28.594; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 000F 0000 0006 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0002 0000 002B 0000 012D 0000 0256 FEFE FEFE 4623 ; 4623; CRC OK;
28.797; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0013 0000 0006 0000 0000 0000 3DBC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0003 0000 0028 0000 00F9 0000 0359 FEFE FEFE 836C ; 836C; CRC OK;
