10.703; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
20.696; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
27.375; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0001 0000 0000 0000 0000 0000 34BC 0003 0000 0003 0000 0003 0000 0003 0000 0003 0000 0003 0000 0004 0000 000F 0000 0063 0000 027C 0000 FEFE FEFE F88C ; F88C; CRC OK;
27.485; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0005 0000 0000 0000 0000 0000 3DBC 006C 0000 0068 0000 0067 0000 0068 0000 0066 0000 0067 0000 0060 0000 000A 0000 0004 0000 0004 0000 FEFE FEFE C121 ; C121; CRC OK;
27.580; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0009 0000 0000 0000 0000 0000 46BC F38E 0000 44CE 0001 7F05 0002 540F 0007 E186 001A EB96 0065 BF50 014D 3859 005E 3FB8 0005 0882 0002 FEFE FEFE 4120 ; 4120; CRC OK;
27.689; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0002 0000 0000 0000 0000 0000 34BC 0027 0000 0022 0000 0021 0000 0023 0000 0026 0000 0025 0000 0026 0000 0035 0000 01D6 0000 0803 0000 FEFE FEFE E4F3 ; E4F3; CRC OK;
27.880; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0006 0000 0000 0000 0000 0000 3DBC 003B 0000 0039 0000 0038 0000 0039 0000 0039 0000 003A 0000 0036 0000 0005 0000 0003 0000 0004 0000 FEFE FEFE 0D4C ; 0D4C; CRC OK;
27.975; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000A 0000 0000 0000 0000 0000 46BC AB6A 0000 1594 0001 AF8A 0002 2AED 0008 07A9 001C 5144 0065 451C 014C CEFE 005D 3849 0005 F6E1 0001 FEFE FEFE 46F9 ; 46F9; CRC OK;
31.681; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DDB0 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 11CE ; 11CE; CRC OK;
31.775; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0003 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0A14 ; 0A14; CRC OK;
31.883; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0007 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE F09C ; F09C; CRC OK;
31.978; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 5A1F ; 5A1F; CRC OK;
32.088; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000F 000A 0000 0000 0000 0000 34C0 0008 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 0041 0000 01F5 0000 FEFE FEFE 9EC9 ; 9EC9; CRC OK;
32.182; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0013 000A 0000 0000 0000 0000 3DC0 0008 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0024 0000 004C 0000 01D1 0000 FEFE FEFE 6708 ; 6708; CRC OK;
32.290; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000C 0000 0000 0000 0000 0000 46C0 A88C 0000 A410 0000 A046 0000 A2BB 0000 9E63 0000 A845 0000 A967 0000 B6E9 0000 C5E7 0000 1B3F 0002 FEFE FEFE 88CA ; 88CA; CRC OK;
32.384; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0010 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000F 0000 0067 0000 032E 0000 FEFE FEFE 1EC1 ; 1EC1; CRC OK;
32.479; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0014 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0006 0000 FEFE FEFE 0FDE ; 0FDE; CRC OK;
32.589; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0018 000A 0000 0000 0000 0000 46BC 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0003 0000 0006 0000 FEFE FEFE F081 ; F081; CRC OK;
32.682; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0011 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 002D 0000 01F3 0000 068C 0000 FEFE FEFE E0C9 ; E0C9; CRC OK;
32.884; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0015 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 FEFE FEFE 6736 ; 6736; CRC OK;
32.980; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0019 000A 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0009 0000 FEFE FEFE 506E ; 506E; CRC OK;
36.687; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DDB0 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 11CE ; 11CE; CRC OK;
36.783; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000E 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0668 ; 0668; CRC OK;
36.876; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0012 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2C35 ; 2C35; CRC OK;
