0.811; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
17.382; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0009 0000 0000 0000 0000 0000 46C0 AA12 0000 A5CC 0000 A0D3 0000 A273 0000 A91A 0000 A777 0000 A2BF 0000 B99F 0000 B841 0000 E1C2 0001 FEFE FEFE EBAD ; EBAD; CRC OK;
17.490; R; CW 0xED00; AW 0xE800: 0FF1 0D28 000A 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0A95 ; 0A95; CRC OK;
17.586; R; CW 0xED20; AW 0xE800: 0FF1 0D29 000B 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 302E ; 302E; CRC OK;
17.695; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000C 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2035 ; 2035; CRC OK;
17.789; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0001 0000 0000 0000 0000 0000 34BC 0028 0000 0025 0000 0023 0000 0026 0000 0026 0000 0025 0000 0026 0000 0033 0000 020E 0000 0683 0000 FEFE FEFE 407A ; 407A; CRC OK;
17.993; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0004 0000 0000 0000 0000 0000 3DBC 003A 0000 0039 0000 0038 0000 0038 0000 0039 0000 0039 0000 0036 0000 0005 0000 0002 0000 0005 0000 FEFE FEFE 0931 ; 0931; CRC OK;
18.087; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0007 0000 0000 0000 0000 0000 46BC A8C2 0000 150A 0001 ABE5 0002 23F8 0008 0B12 001C 9B30 0065 BD58 014C 15C9 005E 34C4 0005 7621 0001 FEFE FEFE 0E74 ; 0E74; CRC OK;
21.787; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FF 0E04 00FE FEFE DDC3 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 CBB5 ; CBB5; CRC OK;
21.893; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0002 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 95F1 ; 95F1; CRC OK;
21.989; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE DF77 ; DF77; CRC OK;
