2.316; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
12.308; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
18.999; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0003 0000 0000 0000 0000 0000 34BC 0003 0000 0004 0000 0003 0000 0004 0000 0004 0000 0004 0000 0003 0000 000E 0000 0068 0000 01EE 0000 FEFE FEFE 872C ; 872C; CRC OK;
19.094; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0007 0000 0000 0000 0000 0000 3DBC 006E 0000 006A 0000 0067 0000 0067 0000 0065 0000 0066 0000 0061 0000 0009 0000 0004 0000 0006 0000 FEFE FEFE DA82 ; DA82; CRC OK;
19.191; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 000B 0000 0000 0000 0000 0000 46BC F716 0000 48C9 0001 72EF 0002 3CD3 0007 B722 001A 8B16 0065 02DC 014E 9745 005E 4B59 0005 E956 0001 FEFE FEFE 4B89 ; 4B89; CRC OK;
19.299; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0004 0000 0000 0000 0000 0000 34BC 0026 0000 0024 0000 0024 0000 0025 0000 0025 0000 0023 0000 0025 0000 0019 0000 0129 0000 055F 0000 FEFE FEFE A32C ; A32C; CRC OK;
19.491; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0008 0000 0000 0000 0000 0000 3DBC 003D 0000 003B 0000 003B 0000 003B 0000 003C 0000 003C 0000 0039 0000 0005 0000 0003 0000 0004 0000 FEFE FEFE E17C ; E17C; CRC OK;
19.602; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 000C 0000 0000 0000 0000 0000 46BC AB73 0000 16D2 0001 B0E7 0002 3BA0 0008 196B 001C DF76 0065 77CC 014D A750 005D 3E68 0005 8CDF 0001 FEFE FEFE E8E0 ; E8E0; CRC OK;
23.300; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 000D 000A 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D898 0001 0000 0000 0000 0000 0005 0000 000D 0000 0000 0000 0000 1603 ; 1603; CRC OK;
23.395; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0001 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 25FF ; 25FF; CRC OK;
23.489; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0005 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE DF77 ; DF77; CRC OK;
23.600; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0009 0000 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 75F4 ; 75F4; CRC OK;
23.695; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 000F 000A 0000 0000 0000 0000 34C0 0007 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0008 0000 0032 0000 01ED 0000 FEFE FEFE C201 ; C201; CRC OK;
23.791; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0013 000A 0000 0000 0000 0000 3DC0 0008 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0014 0000 0066 0000 01F7 0000 FEFE FEFE 6816 ; 6816; CRC OK;
23.902; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 000A 0000 0000 0000 0000 0000 46C0 A97A 0000 A50C 0000 A031 0000 A59C 0000 A48A 0000 A327 0000 AFFF 0000 9EE5 0000 C1AC 0000 6FA8 0002 FEFE FEFE 9596 ; 9596; CRC OK;
23.997; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0010 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0011 0000 0063 0000 03A8 0000 FEFE FEFE FAFE ; FAFE; CRC OK;
24.091; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0014 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0006 0000 0008 0000 FEFE FEFE 45AC ; 45AC; CRC OK;
24.202; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0018 000A 0000 0000 0000 0000 46BC 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0004 0000 0003 0000 FEFE FEFE D80C ; D80C; CRC OK;
24.300; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0011 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0045 0000 01E0 0000 05F0 0000 FEFE FEFE 1C3D ; 1C3D; CRC OK;
