32.971; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.080; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.173; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
33.281; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.376; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.483; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.576; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0128 0052 ; B8D0; CRC BAD;
33.776; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
33.869; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 0130 0052 ; 9949; CRC BAD;
37.582; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0116 0033 ; A88C; CRC BAD;
37.674; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0125 0052 ; F7EC; CRC BAD;
37.780; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
37.873; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 012D 0052 ; C444; CRC BAD;
37.981; R; CW 0xECA4; AW 0xE800: 0FF1 0D25 0131 0053 ; 20C9; CRC BAD;
38.075; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
38.182; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 012E 0052 ; AD77; CRC BAD;
38.275; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0127 0052 ; 106F; CRC BAD;
38.369; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
38.476; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
38.568; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0128 0052 ; B8D0; CRC BAD;
38.770; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
38.878; R; CW 0xEDA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
42.572; R; CW 0xEC24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
