21.305; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
31.290; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
32.255; R; CW 0xEC20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
37.867; R; CW 0xECE0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
37.963; R; CW 0xED00; AW 0xE800: 0FF1 0D28 015F 0002 0000 0000 0000 0004 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0000 0000 0002 0000 000F 0000 0062 0000 0349 0000 FEFE FEFE 0E72 ; 0E72; CRC OK;
38.055; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0163 0002 0000 0000 0000 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 FEFE FEFE 0717 ; 0717; CRC OK;
38.164; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0167 0002 0000 0000 0000 0004 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 0004 0000 0005 0000 FEFE FEFE 5851 ; 5851; CRC OK;
38.257; R; CW 0xED60; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
38.456; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0164 0002 0000 0000 0000 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0006 0000 FEFE FEFE 5B34 ; 5B34; CRC OK;
38.565; R; CW 0xEDA0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
42.257; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 015C 0001 0000 0000 0009 0000 002B 0000 0000 0000 0000 0000 0000 0604 07FE FEFE A057 0001 0000 7700 00B8 0000 0005 0000 07B1 0000 0000 0000 0000 3713 ; 3713; CRC OK;
42.369; R; CW 0xEC40; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
42.458; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0161 0002 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2EAA ; 2EAA; CRC OK;
42.566; R; CW 0xEC80; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
42.659; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 015E 0002 0000 0000 0001 0004 34BC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000B 0000 000E 0000 0096 0000 006C 0000 03BE 0000 FEFE FEFE 847B ; 847B; CRC OK;
42.765; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0169 0003 0000 0001 0001 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 0000 004D 0000 01FA 0000 FEFE FEFE 8D59 ; 8D59; CRC OK;
42.859; R; CW 0xECE0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
